Sample	Type	Direction	Q	f	
S00106C	?	R1	32	6	
S00106C	?	R2	31	7	
S00107D	?	R1	32	7	
S00107D	?	R2	32	7	
S00107F	?	R1	32	11	
S00107F	?	R2	32	11	
S000D04	?	R1	32	5	
S000D04	?	R2	32	5	
S000CFF	?	R1	32	5	
S000CFF	?	R2	32	5	
S000D03	?	R1	32	5	
S000D03	?	R2	32	5	
S001383	DNA	R1	32	6	
S001383	DNA	R2	32	6	
S00138C	DNA	R1	32	4	
S00138C	DNA	R2	32	4	
S001384	DNA	R1	32	7	
S001384	DNA	R2	32	7	
S001389	DNA	R1	32	7	
S001389	DNA	R2	32	7	
S001386	DNA	R1	32	10	
S001386	DNA	R2	32	10	
S001388	DNA	R1	32	10	
S001388	DNA	R2	32	10	
S001385	DNA	R1	32	8	
S001385	DNA	R2	32	8	
S00138F	DNA	R1	32	10	
S00138F	DNA	R2	32	10	
S00138E	DNA	R1	32	10	
S00138E	DNA	R2	32	10	
S001387	DNA	R1	32	10	
S001387	DNA	R2	32	10	
S00138D	DNA	R1	32	10	
S00138D	DNA	R2	32	10	
S00138A	DNA	R1	32	10	
S00138A	DNA	R2	32	10	
S00138B	DNA	R1	32	10	
S00138B	DNA	R2	32	10	
A066585	DNA	R1	38	9	
A066585	DNA	R2	38	9	
HI.0735.004.Index_12	RNA	R1	32	11	
HI.0735.004.Index_12	RNA	R2	32	11	
A066581	DNA	R1	38	9	
A066581	DNA	R2	38	9	
HI.0735.004.Index_11	RNA	R1	32	11	
HI.0735.004.Index_11	RNA	R2	32	11	
S001702	DNA	R1	32	9	
S001702	DNA	R2	32	9	
S00142B	RNA	R1	33	9	
S00142B	RNA	R2	33	9	
S0016FE	DNA	R1	33	6	
S0016FE	DNA	R2	33	6	
S00137A	DNA	R1	33	8	
S00137A	DNA	R2	33	8	
S001376	DNA	R1	33	5	
S001376	DNA	R2	33	5	
S001711	DNA	R1	32	7	
S001711	DNA	R2	32	7	
S001380	DNA	R1	32	7	
S001380	DNA	R2	32	7	
S00137D	DNA	R1	32	7	
S00137D	DNA	R2	32	7	
S001703	DNA	R1	34	7	
S001703	DNA	R2	34	7	
S0016FF	DNA	R1	32	9	
S0016FF	DNA	R2	32	9	
S001378	DNA	R1	33	7	
S001378	DNA	R2	33	7	
S001377	DNA	R1	33	7	
S001377	DNA	R2	33	7	
S00171C	DNA	R1	34	1
S00171C	DNA	R2	34	1
S001382	DNA	R1	33	7	
S001382	DNA	R2	33	7	
S00137E	DNA	R1	33	7	
S00137E	DNA	R2	33	7	
S001705	DNA	R1	34	6	
S001705	DNA	R2	34	6	
S001707	DNA	R1	33	7	
S001707	DNA	R2	33	7	
S001271	RNA	R1	32	9	
S001271	RNA	R2	32	9	
S001381	DNA	R1	32	7	
S001381	DNA	R2	32	7	
S001270	RNA	R1	32	9	
S001270	RNA	R2	32	9	
S00171D	DNA	R1	34	7	
S00171D	DNA	R2	34	7	
S0016FD	DNA	R1	32	9	
S0016FD	DNA	R2	32	9	
S00137B	DNA	R1	33	2	
S00137B	DNA	R2	33	2	
S00137C	DNA	R1	32	9	
S00137C	DNA	R2	32	9	
S00141C	DNA	R1	33	3	
S00141C	DNA	R2	33	3	
S001701	DNA	R1	32	7	
S001701	DNA	R2	32	7	
S001700	DNA	R1	32	7	
S001700	DNA	R2	32	7	
S001713	DNA	R2	33	8
S001710	DNA	R1	33	7
S001710	DNA	R2	33	7
S001714	DNA	R1	33	7
S001714	DNA	R2	33	7
S001715	DNA	R1	33	4
S001715	DNA	R2	33	4
S001712	DNA	R1	33	8
S001712	DNA	R2	33	8
S00180B	?	R1	report		
S00180B	?	R2	report		
S001808	?	R1	report		
S001808	?	R2	report		
S001374	?	R1	report	33	10
S001374	?	R2	report	33	10
S001273	?	R1	report	33	10
S001273	?	R2	report	33	10
S00142F	?	R1	report	33	2
S00142F	?	R2	report	33	2
S0017AF	?	R1	report	33	5
S0017AF	?	R2	report	33	5
S001465	?	R1	report	33	10
S001465	?	R2	report	33	10
S0017B4	?	R1	report	33	7
S0017B4	?	R2	report	33	7
S001728	?	R1	report		
S001728	?	R2	report		
S00142D	?	R1	report	33	10
S00142D	?	R2	report	33	10
S001430	?	R1	report	33	10
S001430	?	R2	report	33	10
S0017B2	?	R1	report	33	4
S0017B2	?	R2	report	33	4
S0017B3	?	R1	report	33	6
S0017B3	?	R2	report	33	6
S001809	?	R1	report		
S001809	?	R2	report		
S001431	?	R1	report	33	1
S001431	?	R2	report	33	1
S0017B1	?	R1	report	33	4
S0017B1	?	R2	report	33	4
S001807	?	R1	report		
S001807	?	R2	report		
S001466	?	R1	report	33	1
S001466	?	R2	report	33	1
S00142C	?	R1	report	33	1
S00142C	?	R2	report	33	1
S001464	?	R1	report	33	10
S001464	?	R2	report	33	10
S00142E	?	R1	report	33	1
S00142E	?	R2	report	33	1
S0017B7	?	R1	report	33	10
S0017B7	?	R2	report	33	10
S001375	?	R1	report	33	10
S001375	?	R2	report	33	10
S00180A	?	R1	report		
S00180A	?	R2	report		
